"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"MG","41084",3143153,"Minas Gerais","3","Jequitinhonha","14","Almenara","Monte Formoso","3","Sudeste"
"MG","48631",3143203,"Minas Gerais","10","Sul/Sudoeste de Minas","48","São Sebastião do Paraíso","Monte Santo de Minas","3","Sudeste"
"MG","48658",3143302,"Minas Gerais","2","Norte de Minas","7","Montes Claros","Montes Claros","3","Sudeste"
"MG","48674",3143401,"Minas Gerais","10","Sul/Sudoeste de Minas","51","Poços de Caldas","Monte Sião","3","Sudeste"
"MG","40460",3143450,"Minas Gerais","2","Norte de Minas","5","Salinas","Montezuma","3","Sudeste"
"MG","48690",3143500,"Minas Gerais","6","Central Mineira","24","Três Marias","Morada Nova de Minas","3","Sudeste"
"MG","48712",3143609,"Minas Gerais","6","Central Mineira","25","Curvelo","Morro da Garça","3","Sudeste"
"MG","48739",3143708,"Minas Gerais","7","Metropolitana de Belo Horizonte","28","Conceição do Mato Dentro","Morro do Pilar","3","Sudeste"
"MG","48755",3143807,"Minas Gerais","10","Sul/Sudoeste de Minas","52","Pouso Alegre","Munhoz","3","Sudeste"
"MG","48771",3143906,"Minas Gerais","12","Zona da Mata","63","Muriaé","Muriaé","3","Sudeste"
"MG","48798",3144003,"Minas Gerais","8","Vale do Rio Doce","41","Aimorés","Mutum","3","Sudeste"
"MG","48810",3144102,"Minas Gerais","10","Sul/Sudoeste de Minas","48","São Sebastião do Paraíso","Muzambinho","3","Sudeste"
"MG","48836",3144201,"Minas Gerais","8","Vale do Rio Doce","37","Governador Valadares","Nacip Raydan","3","Sudeste"
"MG","48852",3144300,"Minas Gerais","4","Vale do Mucuri","16","Nanuque","Nanuque","3","Sudeste"
"MG","40487",3144359,"Minas Gerais","8","Vale do Rio Doce","39","Ipatinga","Naque","3","Sudeste"
"MG","41106",3144375,"Minas Gerais","1","Noroeste de Minas","1","Unaí","Natalândia","3","Sudeste"
"MG","48879",3144409,"Minas Gerais","10","Sul/Sudoeste de Minas","53","Santa Rita do Sapucaí","Natércia","3","Sudeste"
"MG","48895",3144508,"Minas Gerais","11","Campo das Vertentes","58","São João Del Rei","Nazareno","3","Sudeste"
"MG","48917",3144607,"Minas Gerais","11","Campo das Vertentes","57","Lavras","Nepomuceno","3","Sudeste"
"MG","41122",3144656,"Minas Gerais","2","Norte de Minas","5","Salinas","Ninheira","3","Sudeste"
"MG","41149",3144672,"Minas Gerais","8","Vale do Rio Doce","38","Mantena","Nova Belém","3","Sudeste"
"MG","48933",3144706,"Minas Gerais","7","Metropolitana de Belo Horizonte","31","Itabira","Nova Era","3","Sudeste"
"MG","48950",3144805,"Minas Gerais","7","Metropolitana de Belo Horizonte","30","Belo Horizonte","Nova Lima","3","Sudeste"
"MG","48976",3144904,"Minas Gerais","8","Vale do Rio Doce","37","Governador Valadares","Nova Módica","3","Sudeste"
"MG","48992",3145000,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","23","Araxá","Nova Ponte","3","Sudeste"
"MG","41165",3145059,"Minas Gerais","2","Norte de Minas","4","Janaúba","Nova Porteirinha","3","Sudeste"
"MG","49018",3145109,"Minas Gerais","10","Sul/Sudoeste de Minas","48","São Sebastião do Paraíso","Nova Resende","3","Sudeste"
"MG","49034",3145208,"Minas Gerais","9","Oeste de Minas","43","Divinópolis","Nova Serrana","3","Sudeste"
"MG","49050",3145307,"Minas Gerais","3","Jequitinhonha","12","Araçuaí","Novo Cruzeiro","3","Sudeste"
"MG","40509",3145356,"Minas Gerais","4","Vale do Mucuri","15","Teófilo Otoni","Novo Oriente de Minas","3","Sudeste"
"MG","41181",3145372,"Minas Gerais","2","Norte de Minas","5","Salinas","Novorizonte","3","Sudeste"
"MG","49077",3145406,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Olaria","3","Sudeste"
"MG","41203",3145455,"Minas Gerais","2","Norte de Minas","9","Bocaiúva","Olhos-d'Água","3","Sudeste"
"MG","49093",3145505,"Minas Gerais","10","Sul/Sudoeste de Minas","54","São Lourenço","Olímpio Noronha","3","Sudeste"
"MG","49115",3145604,"Minas Gerais","9","Oeste de Minas","46","Oliveira","Oliveira","3","Sudeste"
"MG","49131",3145703,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Oliveira Fortes","3","Sudeste"
"MG","49158",3145802,"Minas Gerais","7","Metropolitana de Belo Horizonte","29","Pará de Minas","Onça de Pitangui","3","Sudeste"
"MG","41220",3145851,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Oratórios","3","Sudeste"
"MG","41246",3145877,"Minas Gerais","12","Zona da Mata","63","Muriaé","Orizânia","3","Sudeste"
"MG","49174",3145901,"Minas Gerais","7","Metropolitana de Belo Horizonte","34","Conselheiro Lafaiete","Ouro Branco","3","Sudeste"
"MG","49190",3146008,"Minas Gerais","10","Sul/Sudoeste de Minas","51","Poços de Caldas","Ouro Fino","3","Sudeste"
"MG","49212",3146107,"Minas Gerais","7","Metropolitana de Belo Horizonte","33","Ouro Preto","Ouro Preto","3","Sudeste"
"MG","49239",3146206,"Minas Gerais","4","Vale do Mucuri","15","Teófilo Otoni","Ouro Verde de Minas","3","Sudeste"
"MG","41262",3146255,"Minas Gerais","2","Norte de Minas","8","Grão Mogol","Padre Carvalho","3","Sudeste"
"MG","49255",3146305,"Minas Gerais","3","Jequitinhonha","12","Araçuaí","Padre Paraíso","3","Sudeste"
"MG","49271",3146404,"Minas Gerais","6","Central Mineira","24","Três Marias","Paineiras","3","Sudeste"
"MG","49298",3146503,"Minas Gerais","9","Oeste de Minas","44","Formiga","Pains","3","Sudeste"
"MG","41289",3146552,"Minas Gerais","2","Norte de Minas","4","Janaúba","Pai Pedro","3","Sudeste"
"MG","49310",3146602,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Paiva","3","Sudeste"
"MG","49336",3146701,"Minas Gerais","12","Zona da Mata","66","Cataguases","Palma","3","Sudeste"
"MG","40525",3146750,"Minas Gerais","3","Jequitinhonha","14","Almenara","Palmópolis","3","Sudeste"
"MG","49379",3146909,"Minas Gerais","7","Metropolitana de Belo Horizonte","27","Sete Lagoas","Papagaios","3","Sudeste"
"MG","49395",3147006,"Minas Gerais","1","Noroeste de Minas","2","Paracatu","Paracatu","3","Sudeste"
"MG","49417",3147105,"Minas Gerais","7","Metropolitana de Belo Horizonte","29","Pará de Minas","Pará de Minas","3","Sudeste"
"MG","49433",3147204,"Minas Gerais","10","Sul/Sudoeste de Minas","49","Alfenas","Paraguaçu","3","Sudeste"
"MG","49450",3147303,"Minas Gerais","10","Sul/Sudoeste de Minas","56","Itajubá","Paraisópolis","3","Sudeste"
"MG","49476",3147402,"Minas Gerais","7","Metropolitana de Belo Horizonte","27","Sete Lagoas","Paraopeba","3","Sudeste"
"MG","49492",3147501,"Minas Gerais","7","Metropolitana de Belo Horizonte","28","Conceição do Mato Dentro","Passabém","3","Sudeste"
"MG","49514",3147600,"Minas Gerais","10","Sul/Sudoeste de Minas","54","São Lourenço","Passa Quatro","3","Sudeste"
"MG","49530",3147709,"Minas Gerais","9","Oeste de Minas","46","Oliveira","Passa Tempo","3","Sudeste"
"MG","49557",3147808,"Minas Gerais","10","Sul/Sudoeste de Minas","55","Andrelândia","Passa-Vinte","3","Sudeste"
"MG","49573",3147907,"Minas Gerais","10","Sul/Sudoeste de Minas","47","Passos","Passos","3","Sudeste"
"MG","41300",3147956,"Minas Gerais","2","Norte de Minas","7","Montes Claros","Patis","3","Sudeste"
"MG","49590",3148004,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","20","Patos de Minas","Patos de Minas","3","Sudeste"
